类别：所有类别

月份,yahoo: (美国)
2004-01,38
2004-02,37
2004-03,39
2004-04,38
2004-05,40
2004-06,46
2004-07,48
2004-08,45
2004-09,46
2004-10,45
2004-11,45
2004-12,48
2005-01,48
2005-02,48
2005-03,49
2005-04,51
2005-05,53
2005-06,55
2005-07,56
2005-08,58
2005-09,59
2005-10,58
2005-11,58
2005-12,62
2006-01,58
2006-02,59
2006-03,63
2006-04,62
2006-05,61
2006-06,67
2006-07,68
2006-08,68
2006-09,70
2006-10,68
2006-11,69
2006-12,65
2007-01,70
2007-02,68
2007-03,69
2007-04,64
2007-05,73
2007-06,73
2007-07,72
2007-08,75
2007-09,72
2007-10,72
2007-11,75
2007-12,75
2008-01,70
2008-02,71
2008-03,72
2008-04,72
2008-05,75
2008-06,78
2008-07,78
2008-08,81
2008-09,82
2008-10,87
2008-11,87
2008-12,88
2009-01,85
2009-02,87
2009-03,90
2009-04,87
2009-05,86
2009-06,87
2009-07,90
2009-08,91
2009-09,98
2009-10,93
2009-11,92
2009-12,91
2010-01,85
2010-02,88
2010-03,93
2010-04,92
2010-05,95
2010-06,96
2010-07,89
2010-08,89
2010-09,96
2010-10,94
2010-11,88
2010-12,92
2011-01,91
2011-02,95
2011-03,93
2011-04,90
2011-05,92
2011-06,90
2011-07,90
2011-08,94
2011-09,100
2011-10,90
2011-11,89
2011-12,91
2012-01,87
2012-02,88
2012-03,85
2012-04,86
2012-05,89
2012-06,82
2012-07,83
2012-08,86
2012-09,88
2012-10,95
2012-11,96
2012-12,93
2013-01,88
2013-02,85
2013-03,85
2013-04,86
2013-05,82
2013-06,85
2013-07,82
2013-08,82
2013-09,83
2013-10,77
2013-11,70
2013-12,69
2014-01,67
2014-02,62
2014-03,64
2014-04,63
2014-05,62
2014-06,66
2014-07,62
2014-08,62
2014-09,66
2014-10,63
2014-11,61
2014-12,60
2015-01,55
2015-02,53
2015-03,55
2015-04,53
2015-05,49
2015-06,51
2015-07,52
2015-08,57
2015-09,56
2015-10,52
2015-11,49
2015-12,49
2016-01,42
2016-02,41
2016-03,43
2016-04,41
2016-05,39
2016-06,41
2016-07,40
2016-08,42
2016-09,41
2016-10,39
2016-11,39
2016-12,36
2017-01,36
2017-02,36
2017-03,34
2017-04,36
2017-05,35
2017-06,37
2017-07,34
2017-08,39
2017-09,38
2017-10,36
2017-11,37
2017-12,36
2018-01,35
2018-02,37
2018-03,35
2018-04,34
2018-05,31
2018-06,30
2018-07,30
2018-08,32
2018-09,31
2018-10,30
2018-11,28
2018-12,28
2019-01,27
2019-02,28
2019-03,26
2019-04,27
2019-05,28
2019-06,27
2019-07,28
2019-08,29
2019-09,29
2019-10,28
2019-11,26
2019-12,27
2020-01,28
2020-02,27
2020-03,34
2020-04,29
2020-05,29
2020-06,30
2020-07,32
2020-08,29
2020-09,29
2020-10,29
2020-11,31
2020-12,30
2021-01,31
2021-02,29
2021-03,29
2021-04,29
2021-05,29
2021-06,28
2021-07,27
2021-08,29
2021-09,29
2021-10,28
2021-11,28
2021-12,29
2022-01,26
2022-02,25
2022-03,26
2022-04,25
2022-05,25
2022-06,25
2022-07,25
2022-08,25
2022-09,25
2022-10,24
2022-11,23
2022-12,25
2023-01,23
2023-02,23
2023-03,24
2023-04,23
2023-05,23
2023-06,23
2023-07,23
2023-08,23
2023-09,22
2023-10,23
2023-11,21
2023-12,21
2024-01,21
2024-02,18
2024-03,18
2024-04,18
2024-05,17
2024-06,16
2024-07,18
2024-08,19
2024-09,18
2024-10,16
2024-11,16
2024-12,15
2025-01,16
