类别：所有类别

月份,golf: (美国)
2004-01,45
2004-02,51
2004-03,65
2004-04,78
2004-05,81
2004-06,100
2004-07,96
2004-08,86
2004-09,66
2004-10,48
2004-11,41
2004-12,45
2005-01,45
2005-02,51
2005-03,65
2005-04,81
2005-05,81
2005-06,99
2005-07,93
2005-08,87
2005-09,63
2005-10,51
2005-11,43
2005-12,42
2006-01,44
2006-02,46
2006-03,58
2006-04,82
2006-05,78
2006-06,88
2006-07,87
2006-08,82
2006-09,61
2006-10,50
2006-11,42
2006-12,39
2007-01,39
2007-02,44
2007-03,57
2007-04,72
2007-05,77
2007-06,93
2007-07,89
2007-08,78
2007-09,60
2007-10,45
2007-11,36
2007-12,36
2008-01,41
2008-02,43
2008-03,53
2008-04,64
2008-05,70
2008-06,87
2008-07,77
2008-08,67
2008-09,51
2008-10,39
2008-11,30
2008-12,30
2009-01,32
2009-02,39
2009-03,46
2009-04,63
2009-05,65
2009-06,82
2009-07,75
2009-08,68
2009-09,49
2009-10,37
2009-11,33
2009-12,30
2010-01,30
2010-02,33
2010-03,44
2010-04,63
2010-05,58
2010-06,65
2010-07,63
2010-08,58
2010-09,44
2010-10,34
2010-11,26
2010-12,27
2011-01,29
2011-02,38
2011-03,43
2011-04,56
2011-05,55
2011-06,70
2011-07,64
2011-08,59
2011-09,45
2011-10,34
2011-11,29
2011-12,29
2012-01,30
2012-02,35
2012-03,44
2012-04,56
2012-05,57
2012-06,70
2012-07,63
2012-08,54
2012-09,43
2012-10,30
2012-11,26
2012-12,25
2013-01,30
2013-02,33
2013-03,41
2013-04,52
2013-05,54
2013-06,62
2013-07,57
2013-08,57
2013-09,41
2013-10,31
2013-11,24
2013-12,25
2014-01,27
2014-02,29
2014-03,36
2014-04,48
2014-05,51
2014-06,62
2014-07,56
2014-08,53
2014-09,38
2014-10,29
2014-11,23
2014-12,24
2015-01,26
2015-02,30
2015-03,36
2015-04,49
2015-05,48
2015-06,61
2015-07,59
2015-08,55
2015-09,41
2015-10,29
2015-11,24
2015-12,24
2016-01,26
2016-02,32
2016-03,40
2016-04,49
2016-05,52
2016-06,60
2016-07,57
2016-08,50
2016-09,38
2016-10,33
2016-11,26
2016-12,25
2017-01,30
2017-02,35
2017-03,37
2017-04,49
2017-05,48
2017-06,59
2017-07,59
2017-08,50
2017-09,41
2017-10,31
2017-11,27
2017-12,28
2018-01,29
2018-02,34
2018-03,41
2018-04,51
2018-05,52
2018-06,60
2018-07,59
2018-08,51
2018-09,42
2018-10,30
2018-11,26
2018-12,25
2019-01,29
2019-02,34
2019-03,40
2019-04,51
2019-05,51
2019-06,63
2019-07,59
2019-08,53
2019-09,39
2019-10,30
2019-11,27
2019-12,28
2020-01,30
2020-02,34
2020-03,32
2020-04,35
2020-05,53
2020-06,63
2020-07,63
2020-08,64
2020-09,52
2020-10,41
2020-11,41
2020-12,36
2021-01,34
2021-02,39
2021-03,50
2021-04,60
2021-05,64
2021-06,71
2021-07,71
2021-08,62
2021-09,49
2021-10,41
2021-11,37
2021-12,36
2022-01,36
2022-02,44
2022-03,50
2022-04,59
2022-05,60
2022-06,76
2022-07,72
2022-08,65
2022-09,48
2022-10,42
2022-11,34
2022-12,32
2023-01,35
2023-02,46
2023-03,50
2023-04,64
2023-05,62
2023-06,79
2023-07,72
2023-08,61
2023-09,49
2023-10,40
2023-11,36
2023-12,36
2024-01,34
2024-02,43
2024-03,49
2024-04,64
2024-05,68
2024-06,83
2024-07,70
2024-08,66
2024-09,50
2024-10,42
2024-11,36
2024-12,37
2025-01,35
2025-02,41
