类别：所有类别

月份,halloween: (美国)
2004-01,1
2004-02,1
2004-03,1
2004-04,1
2004-05,1
2004-06,1
2004-07,2
2004-08,5
2004-09,22
2004-10,89
2004-11,6
2004-12,1
2005-01,1
2005-02,1
2005-03,1
2005-04,1
2005-05,1
2005-06,1
2005-07,2
2005-08,6
2005-09,23
2005-10,91
2005-11,7
2005-12,1
2006-01,1
2006-02,1
2006-03,1
2006-04,1
2006-05,1
2006-06,1
2006-07,2
2006-08,6
2006-09,26
2006-10,98
2006-11,8
2006-12,1
2007-01,1
2007-02,1
2007-03,1
2007-04,2
2007-05,1
2007-06,2
2007-07,3
2007-08,9
2007-09,29
2007-10,99
2007-11,8
2007-12,2
2008-01,1
2008-02,1
2008-03,1
2008-04,1
2008-05,1
2008-06,2
2008-07,3
2008-08,7
2008-09,29
2008-10,97
2008-11,8
2008-12,2
2009-01,2
2009-02,2
2009-03,1
2009-04,2
2009-05,2
2009-06,2
2009-07,3
2009-08,9
2009-09,27
2009-10,93
2009-11,9
2009-12,2
2010-01,2
2010-02,1
2010-03,1
2010-04,1
2010-05,1
2010-06,2
2010-07,2
2010-08,6
2010-09,22
2010-10,86
2010-11,8
2010-12,3
2011-01,3
2011-02,2
2011-03,1
2011-04,1
2011-05,1
2011-06,2
2011-07,3
2011-08,7
2011-09,25
2011-10,93
2011-11,10
2011-12,4
2012-01,3
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,2
2012-07,3
2012-08,7
2012-09,27
2012-10,83
2012-11,9
2012-12,2
2013-01,2
2013-02,1
2013-03,1
2013-04,1
2013-05,1
2013-06,2
2013-07,3
2013-08,7
2013-09,23
2013-10,80
2013-11,11
2013-12,2
2014-01,2
2014-02,1
2014-03,1
2014-04,2
2014-05,2
2014-06,2
2014-07,3
2014-08,6
2014-09,24
2014-10,82
2014-11,10
2014-12,2
2015-01,2
2015-02,2
2015-03,1
2015-04,1
2015-05,2
2015-06,2
2015-07,3
2015-08,8
2015-09,25
2015-10,95
2015-11,12
2015-12,2
2016-01,2
2016-02,2
2016-03,2
2016-04,2
2016-05,2
2016-06,2
2016-07,3
2016-08,8
2016-09,24
2016-10,86
2016-11,10
2016-12,2
2017-01,2
2017-02,2
2017-03,2
2017-04,2
2017-05,2
2017-06,2
2017-07,4
2017-08,8
2017-09,23
2017-10,83
2017-11,9
2017-12,2
2018-01,2
2018-02,2
2018-03,2
2018-04,2
2018-05,2
2018-06,3
2018-07,4
2018-08,9
2018-09,32
2018-10,99
2018-11,13
2018-12,3
2019-01,3
2019-02,2
2019-03,2
2019-04,2
2019-05,2
2019-06,2
2019-07,4
2019-08,10
2019-09,26
2019-10,81
2019-11,11
2019-12,2
2020-01,2
2020-02,2
2020-03,2
2020-04,2
2020-05,3
2020-06,2
2020-07,3
2020-08,8
2020-09,27
2020-10,79
2020-11,9
2020-12,2
2021-01,2
2021-02,2
2021-03,2
2021-04,2
2021-05,2
2021-06,3
2021-07,5
2021-08,13
2021-09,32
2021-10,100
2021-11,10
2021-12,3
2022-01,2
2022-02,2
2022-03,3
2022-04,3
2022-05,3
2022-06,3
2022-07,6
2022-08,14
2022-09,32
2022-10,100
2022-11,11
2022-12,3
2023-01,2
2023-02,2
2023-03,2
2023-04,2
2023-05,3
2023-06,3
2023-07,6
2023-08,13
2023-09,31
2023-10,84
2023-11,10
2023-12,2
2024-01,2
2024-02,2
2024-03,2
2024-04,2
2024-05,3
2024-06,3
2024-07,6
2024-08,15
2024-09,31
2024-10,81
2024-11,10
2024-12,2
2025-01,2
2025-02,2
