类别：所有类别

月份,yahoo: (美国)
2004-01,39
2004-02,39
2004-03,39
2004-04,40
2004-05,43
2004-06,47
2004-07,45
2004-08,46
2004-09,47
2004-10,46
2004-11,48
2004-12,49
2005-01,50
2005-02,48
2005-03,50
2005-04,51
2005-05,52
2005-06,57
2005-07,57
2005-08,59
2005-09,59
2005-10,63
2005-11,60
2005-12,62
2006-01,62
2006-02,60
2006-03,64
2006-04,63
2006-05,63
2006-06,71
2006-07,73
2006-08,71
2006-09,72
2006-10,72
2006-11,63
2006-12,68
2007-01,68
2007-02,70
2007-03,71
2007-04,69
2007-05,74
2007-06,71
2007-07,73
2007-08,79
2007-09,74
2007-10,76
2007-11,78
2007-12,76
2008-01,74
2008-02,73
2008-03,72
2008-04,71
2008-05,79
2008-06,81
2008-07,83
2008-08,84
2008-09,88
2008-10,90
2008-11,91
2008-12,93
2009-01,82
2009-02,90
2009-03,94
2009-04,88
2009-05,93
2009-06,94
2009-07,92
2009-08,98
2009-09,98
2009-10,97
2009-11,98
2009-12,95
2010-01,92
2010-02,91
2010-03,95
2010-04,98
2010-05,95
2010-06,97
2010-07,91
2010-08,92
2010-09,94
2010-10,93
2010-11,94
2010-12,93
2011-01,93
2011-02,97
2011-03,97
2011-04,96
2011-05,98
2011-06,94
2011-07,93
2011-08,99
2011-09,98
2011-10,93
2011-11,89
2011-12,93
2012-01,89
2012-02,89
2012-03,89
2012-04,85
2012-05,87
2012-06,86
2012-07,87
2012-08,88
2012-09,87
2012-10,96
2012-11,100
2012-12,95
2013-01,92
2013-02,90
2013-03,90
2013-04,89
2013-05,86
2013-06,88
2013-07,85
2013-08,85
2013-09,84
2013-10,79
2013-11,73
2013-12,72
2014-01,68
2014-02,66
2014-03,66
2014-04,65
2014-05,64
2014-06,68
2014-07,68
2014-08,63
2014-09,69
2014-10,65
2014-11,63
2014-12,59
2015-01,57
2015-02,56
2015-03,57
2015-04,54
2015-05,54
2015-06,52
2015-07,54
2015-08,56
2015-09,56
2015-10,55
2015-11,51
2015-12,49
2016-01,45
2016-02,42
2016-03,44
2016-04,43
2016-05,41
2016-06,41
2016-07,42
2016-08,41
2016-09,44
2016-10,40
2016-11,40
2016-12,38
2017-01,37
2017-02,38
2017-03,37
2017-04,37
2017-05,37
2017-06,39
2017-07,36
2017-08,40
2017-09,40
2017-10,37
2017-11,39
2017-12,37
2018-01,37
2018-02,38
2018-03,36
2018-04,35
2018-05,32
2018-06,31
2018-07,32
2018-08,34
2018-09,31
2018-10,32
2018-11,29
2018-12,30
2019-01,28
2019-02,28
2019-03,27
2019-04,28
2019-05,28
2019-06,28
2019-07,31
2019-08,30
2019-09,30
2019-10,30
2019-11,28
2019-12,29
2020-01,29
2020-02,30
2020-03,34
2020-04,31
2020-05,30
2020-06,31
2020-07,32
2020-08,30
2020-09,31
2020-10,30
2020-11,30
2020-12,31
2021-01,31
2021-02,32
2021-03,30
2021-04,30
2021-05,29
2021-06,29
2021-07,28
2021-08,29
2021-09,29
2021-10,29
2021-11,29
2021-12,30
2022-01,26
2022-02,25
2022-03,27
2022-04,26
2022-05,25
2022-06,25
2022-07,25
2022-08,27
2022-09,26
2022-10,24
2022-11,24
2022-12,25
2023-01,24
2023-02,25
2023-03,25
2023-04,23
2023-05,23
2023-06,23
2023-07,24
2023-08,23
2023-09,23
2023-10,24
2023-11,22
2023-12,22
2024-01,22
2024-02,19
2024-03,18
2024-04,18
2024-05,18
2024-06,17
2024-07,18
2024-08,19
2024-09,18
2024-10,17
2024-11,16
2024-12,16
2025-01,16
2025-02,16
2025-03,16
