类别：所有类别

月份,aquarium: (美国)
2004-01,79
2004-02,78
2004-03,74
2004-04,75
2004-05,72
2004-06,76
2004-07,92
2004-08,78
2004-09,66
2004-10,62
2004-11,62
2004-12,60
2005-01,65
2005-02,69
2005-03,77
2005-04,67
2005-05,69
2005-06,76
2005-07,89
2005-08,79
2005-09,61
2005-10,57
2005-11,81
2005-12,84
2006-01,84
2006-02,79
2006-03,84
2006-04,78
2006-05,74
2006-06,88
2006-07,100
2006-08,83
2006-09,70
2006-10,60
2006-11,59
2006-12,63
2007-01,69
2007-02,67
2007-03,73
2007-04,73
2007-05,67
2007-06,83
2007-07,83
2007-08,76
2007-09,57
2007-10,50
2007-11,48
2007-12,49
2008-01,58
2008-02,61
2008-03,68
2008-04,60
2008-05,61
2008-06,67
2008-07,74
2008-08,73
2008-09,47
2008-10,45
2008-11,48
2008-12,48
2009-01,56
2009-02,61
2009-03,68
2009-04,69
2009-05,64
2009-06,73
2009-07,81
2009-08,68
2009-09,50
2009-10,48
2009-11,51
2009-12,49
2010-01,53
2010-02,55
2010-03,59
2010-04,58
2010-05,57
2010-06,64
2010-07,76
2010-08,62
2010-09,49
2010-10,41
2010-11,40
2010-12,41
2011-01,54
2011-02,61
2011-03,65
2011-04,66
2011-05,59
2011-06,72
2011-07,84
2011-08,74
2011-09,60
2011-10,50
2011-11,47
2011-12,53
2012-01,62
2012-02,68
2012-03,65
2012-04,72
2012-05,67
2012-06,82
2012-07,87
2012-08,71
2012-09,54
2012-10,42
2012-11,44
2012-12,46
2013-01,54
2013-02,54
2013-03,69
2013-04,55
2013-05,60
2013-06,69
2013-07,82
2013-08,69
2013-09,47
2013-10,41
2013-11,40
2013-12,43
2014-01,49
2014-02,52
2014-03,61
2014-04,58
2014-05,59
2014-06,62
2014-07,72
2014-08,62
2014-09,42
2014-10,38
2014-11,38
2014-12,43
2015-01,49
2015-02,50
2015-03,61
2015-04,56
2015-05,55
2015-06,62
2015-07,75
2015-08,61
2015-09,46
2015-10,40
2015-11,38
2015-12,42
2016-01,48
2016-02,57
2016-03,64
2016-04,59
2016-05,57
2016-06,63
2016-07,80
2016-08,58
2016-09,49
2016-10,43
2016-11,46
2016-12,45
2017-01,52
2017-02,58
2017-03,61
2017-04,61
2017-05,59
2017-06,67
2017-07,81
2017-08,62
2017-09,49
2017-10,42
2017-11,44
2017-12,47
2018-01,52
2018-02,56
2018-03,69
2018-04,57
2018-05,58
2018-06,67
2018-07,82
2018-08,63
2018-09,50
2018-10,43
2018-11,42
2018-12,46
2019-01,50
2019-02,60
2019-03,69
2019-04,62
2019-05,59
2019-06,73
2019-07,79
2019-08,66
2019-09,48
2019-10,42
2019-11,43
2019-12,50
2020-01,51
2020-02,60
2020-03,50
2020-04,31
2020-05,36
2020-06,48
2020-07,51
2020-08,53
2020-09,50
2020-10,46
2020-11,39
2020-12,38
2021-01,48
2021-02,53
2021-03,69
2021-04,71
2021-05,72
2021-06,82
2021-07,91
2021-08,66
2021-09,50
2021-10,44
2021-11,46
2021-12,44
2022-01,51
2022-02,62
2022-03,72
2022-04,66
2022-05,59
2022-06,69
2022-07,76
2022-08,63
2022-09,50
2022-10,44
2022-11,44
2022-12,51
2023-01,56
2023-02,61
2023-03,64
2023-04,61
2023-05,57
2023-06,69
2023-07,81
2023-08,60
2023-09,49
2023-10,45
2023-11,43
2023-12,46
2024-01,53
2024-02,60
2024-03,69
2024-04,56
2024-05,57
2024-06,66
2024-07,74
2024-08,63
2024-09,49
2024-10,44
2024-11,43
2024-12,46
2025-01,50
2025-02,52
2025-03,63
2025-04,58
